img,output,flag,username,timestamp
C:\Users\LENOVO\Desktop\Sonali's Folder\Desktop files\TRT\Python\Stone Paper Scissor\flagged\img\tmpbq0vydc6.jpg,C:\Users\LENOVO\Desktop\Sonali's Folder\Desktop files\TRT\Python\Stone Paper Scissor\flagged\output\tmpg44kekix.json,,,2023-06-09 16:17:30.809262
C:\Users\LENOVO\Desktop\Sonali's Folder\Desktop files\TRT\Python\Stone Paper Scissor\flagged\img\tmp2dkkg0wa.jpg,C:\Users\LENOVO\Desktop\Sonali's Folder\Desktop files\TRT\Python\Stone Paper Scissor\flagged\output\tmpwi2v_915.json,,,2023-06-09 16:17:32.401694
